indiv_id,trip_id,origin_taz,destination_taz,origin_departure_time,destination_arrival_time,travel_distance,origin_node,destination_node,destination_minutes,destination_now,destination_clock,destination_distance,diff
20805,34269,83,2341,2346,2355,4,1815,2246,10.74910667,1436.749107,2357,6499.404447,2
90693,145204,1769,811,2346,2357,5,913,1984,10.65394218,1436.653942,2357,6435.961453,0
1367,2233,2327,2300,2344,2356,6,402,809,6.399383085,1430.399383,2350,3599.588723,-6
26668,43862,635,1999,2343,2355,6,599,2144,11.61630454,1434.616305,2355,7077.536361,0
33536,54983,1787,815,2341,2353,6,589,840,8.211019278,1429.211019,2349,4807.346185,-4
68199,109872,1790,1997,2341,2358,9,598,1897,12.374207,1433.374207,2353,7582.80467,-5
38053,62163,2287,1358,2338,2358,6,1429,2452,11.28788029,1429.28788,2349,6858.586857,-9
18772,30857,2328,330,2337,2350,8,1108,330,13.57744753,1430.577448,2351,8384.965018,1
7599,12303,2272,83,2337,2358,15,360,1831,20.75644723,1437.756447,2358,13170.96482,0
66283,106857,691,2277,2337,2355,11,622,1081,17.1514546,1434.151455,2354,10641.56056,-1
65612,105794,1788,2262,2336,2345,4,547,414,6.973177008,1422.973177,2343,3937.538893,-2
26840,44083,1051,810,2335,2341,3,553,802,5.816567057,1420.816567,2341,3211.044705,0
1396,2265,2267,143,2335,2348,8,249,1556,11.07620525,1426.076205,2346,6717.470168,-2
95309,152054,2267,143,2335,2348,8,223,1827,10.28066601,1425.280666,2345,6187.110676,-3
22837,37673,569,2267,2335,2353,10,569,1213,13.86647586,1428.866476,2349,8577.650574,-4
82,114,923,1131,2335,2353,9,923,15,14.21096931,1429.210969,2349,8807.312872,-4
76596,123241,331,1757,2334,2345,4,2168,2462,8.381348129,1422.381348,2342,4920.898753,-3
7734,12503,2326,635,2334,2352,8,433,635,10.70453782,1424.704538,2345,6469.69188,-7
85512,137271,2262,2273,2332,2340,5,359,1211,6.504196195,1418.504196,2339,3669.46413,-1
69320,111588,2283,2340,2331,2343,7,1825,2154,12.80390879,1423.803909,2344,7869.272527,1
70447,113419,2256,635,2330,2337,4,1914,599,5.851817422,1415.851817,2336,3234.544948,-1
10563,17449,2329,2305,2330,2339,5,1120,1365,6.18868444,1416.188684,2336,3459.12296,-3
76248,122713,2287,1768,2330,2350,6,1200,818,9.710164045,1419.710164,2340,5806.77603,-10
15946,26178,545,1995,2328,2345,9,682,936,13.45363547,1421.453635,2341,8302.423646,-4
24204,39876,2283,2275,2327,2342,9,1545,2136,15.15468365,1422.154684,2342,9436.455768,0
82894,133137,545,811,2327,2339,6,1894,799,8.038076728,1415.038077,2335,4692.051152,-4
9645,15848,545,2253,2324,2332,3,682,369,5.345558502,1409.345559,2329,2897.039001,-3
48154,78264,569,2306,2324,2341,8,569,2222,12.14057358,1416.140574,2336,7427.049051,-5
