indiv_id,trip_id,origin_taz,destination_taz,origin_departure_time,destination_arrival_time,travel_distance,origin_node,destination_node
36027,58901,67,2279,1019,1029,7,1396,1681
22487,37098,67,434,743,813,19,1387,418
38473,62817,67,86,1529,1537,5,1396,1408
92013,147075,67,2283,813,820,5,1166,1554
51752,84038,67,2328,1209,1226,12,59,2328
9843,16253,67,2359,2140,2159,8,1396,2249
41749,68039,67,2283,1432,1439,5,67,979
46456,75525,67,2359,1229,1248,8,1165,2249
78580,126416,67,2348,1506,1519,6,1396,5
17870,29509,67,2267,2203,2220,11,1396,1569
95546,152415,67,2346,1425,1504,23,1396,1148
36172,59126,67,73,621,629,6,1396,73
20568,33910,67,2300,1708,1735,17,61,2300
74221,119616,67,143,1252,1302,7,1387,1557
67620,108982,67,2271,1516,1535,11,1161,1663
91050,145711,67,2340,721,730,4,1166,1366
37082,60612,67,73,1506,1514,6,1396,1407
68146,109768,67,2273,2220,2239,14,1396,287
68203,109885,67,2268,1328,1341,12,67,2268
16749,27545,67,2283,940,947,5,1161,1301
91366,146142,67,492,833,858,17,1165,479
81880,131543,67,84,947,955,3,1158,1340
79135,127284,73,2340,2245,2256,6,1822,2154
69913,112553,73,2350,1024,1101,21,1407,908
79412,127733,73,84,1056,1102,3,1407,1363
1764,2816,73,2329,1018,1036,12,1412,1763
46633,75782,73,2359,1923,1948,13,1412,1878
28012,45877,73,2341,1543,1557,8,73,1810
76794,123537,73,2281,1056,1101,4,1412,2281
77253,124242,73,2339,1427,1436,5,1409,1844
93603,149369,73,2325,1704,1729,16,1411,1851
78559,126390,73,2341,1854,1908,8,76,2243
34217,56077,73,166,1138,1156,12,1409,200
82164,131963,73,166,1255,1313,12,1411,134
92249,147463,73,2278,1432,1448,10,1409,2110
66162,106679,73,2281,1814,1819,4,1412,1555
68472,110320,73,2257,720,746,14,76,401
14233,23326,73,2257,1135,1201,14,76,700
96646,154106,73,2279,954,1001,4,1971,138
10648,17624,73,2270,1156,1206,8,1409,1673
32560,53445,73,2349,1425,1441,11,1407,1518
1031,1664,73,2380,1322,1420,34,1409,2374
50171,81493,73,2267,1600,1614,9,1971,236
5251,8465,73,2300,722,745,14,1412,809
9249,15125,73,2329,1537,1555,12,1407,211
42650,69534,73,2275,1851,1907,11,1407,279
85641,137473,73,2358,1147,1236,32,1971,183
18911,31122,73,2262,1258,1322,15,1822,850
56277,91149,73,2346,2030,2105,21,76,1147
68585,110483,73,2338,1421,1432,3,1412,2338
63709,102827,73,2277,1353,1407,7,1407,1572
531,851,73,2279,1127,1134,4,76,1679
14636,23985,73,2387,1947,2027,19,1411,1644
59614,96355,73,2281,1215,1220,4,1971,1558
71363,114889,73,2262,724,748,15,73,504
17119,28193,73,2282,1558,1602,4,73,77
76682,123373,73,2340,1510,1521,6,1407,1364
89709,143598,73,2382,1522,1558,21,1407,1647
7984,12911,73,2321,1259,1327,18,1971,1764
90566,145019,73,2349,1633,1649,11,76,1518
47681,77456,73,2340,1004,1015,6,1971,2153
18396,30318,73,83,1903,1911,5,73,1838
83875,134661,73,2338,1339,1350,3,1822,1355
28313,46425,73,811,905,935,18,1407,811
85862,137849,73,2267,1206,1220,9,1409,247
78203,125811,73,83,752,800,5,76,1841
52421,85115,73,143,1020,1026,5,1971,1827
82768,132947,73,2338,1742,1753,3,1411,1353
68387,110202,73,2339,1420,1429,5,73,1400
72900,117487,73,2367,1913,2005,50,1409,1418
93589,149330,73,2281,836,841,4,1407,1558
37031,60527,73,84,1123,1129,3,76,1362
86911,139549,73,2349,921,937,11,73,1514
47261,76873,73,2340,845,856,6,1822,628
56458,91478,73,2323,1219,1245,19,1412,1170
86837,139440,73,2281,1124,1129,4,76,1558
84536,135703,73,2279,1425,1432,4,1407,128
96242,153442,73,2285,1937,1957,13,1409,506
26456,43528,73,1757,1105,1137,18,73,2464
64522,104115,73,2254,1229,1254,15,73,1912
17948,29615,73,2297,817,835,11,1409,2297
27097,44475,73,2275,944,1000,11,73,282
48121,78202,73,2338,1343,1354,3,1822,1490
39866,65085,73,2335,1249,1301,4,1407,1532
43518,70933,73,143,735,741,5,1822,1827
35085,57465,73,2267,2019,2033,9,76,269
37711,61571,73,2298,1243,1259,11,76,228
34130,55951,73,2327,1731,1743,8,1411,2327
24679,40617,73,2270,1122,1132,8,1409,1688
8491,13830,73,2368,2016,2105,31,1971,2368
90081,144195,73,2340,1041,1052,6,1971,75
21,31,73,2279,857,904,4,1411,1680
36627,59850,73,74,1648,1703,8,1971,1658
34920,57221,73,2270,1952,2002,8,1822,1673
24404,40208,73,2267,1234,1248,9,73,194
61903,99940,74,156,1956,2055,36,1317,178
36628,59851,74,83,1810,1828,10,1664,1832
45211,73572,74,2387,1407,1436,11,1664,1643
40203,65661,74,2340,1359,1423,12,1317,1876
54535,88398,78,2282,743,755,5,144,1547
79417,127739,78,2267,1855,1917,6,1653,1206
37381,61078,78,2339,701,715,7,101,1342
47026,76418,78,2339,1459,1513,7,1653,1343
50322,81732,78,2306,1048,1120,17,1670,1749
31600,51886,78,2330,1205,1230,11,78,159
93108,148646,78,2340,927,944,8,34,621
37258,60878,78,2279,833,848,4,101,1684
54288,88023,78,2159,615,650,14,1652,2159
3608,5753,78,2382,1258,1328,17,144,2382
6843,11144,78,2264,806,840,13,1666,675
61089,98633,78,2280,731,747,3,34,1255
67200,108291,78,2335,1433,1457,8,1666,1427
82586,132697,78,2280,1140,1156,3,93,1586
37393,61101,78,569,543,621,15,146,746
92007,147069,78,2339,859,913,7,1670,1400
29809,48873,81,2279,1714,1723,6,1392,1681
36770,60102,81,2313,1001,1029,17,66,2313
20805,34269,83,2341,2346,2355,4,1815,2246
1985,3146,83,84,1000,1003,3,1840,1362
37210,60778,83,84,2007,2010,3,1816,1401
80103,128775,83,143,1558,1607,6,1834,984
96524,153917,83,2355,2017,2100,22,41,2356
98094,156186,83,2270,1222,1234,9,1841,1686
8032,12969,83,2355,1626,1709,22,1832,2057
17728,29231,83,2341,1108,1117,4,1835,1810
69440,111788,83,2341,2158,2207,4,1162,1811
35453,58048,83,2341,1034,1043,4,1831,1338
12373,20361,83,86,1944,1951,4,1841,1972
25057,41213,83,2341,1555,1604,4,1839,1382
33764,55384,83,2348,846,859,8,1832,2348
6061,9840,83,2387,2240,2321,17,1836,2084
32280,53030,83,86,958,1005,4,1813,1974
21483,35352,83,2349,1435,1455,15,1834,1512
1690,2704,83,2280,2253,2303,7,1815,2280
96607,154043,83,1998,1142,1206,16,1817,1998
75086,120950,83,2308,727,756,18,41,459
50668,82284,83,2341,915,924,4,1841,2241
20505,33825,83,2348,1335,1348,8,1833,2157
40058,65475,83,2269,819,830,8,1816,1598
28975,47442,83,2341,1823,1832,4,1834,1338
98791,157162,83,73,1750,1757,5,1832,76
97221,154899,83,308,827,859,16,1840,346
76233,122689,83,84,1807,1810,3,1837,1363
3803,6042,83,2280,714,724,7,1812,1601
20312,33511,83,2341,1000,1009,4,1835,1380
45917,74652,83,2359,1702,1722,10,41,587
30194,49501,83,2283,1400,1406,4,1831,978
46786,76023,83,153,1223,1302,20,1839,2472
68648,110562,83,2267,1210,1227,11,1838,1209
75988,122300,83,2273,1808,1827,13,1840,275
94758,151178,83,139,1757,1824,20,1815,1045
49520,80508,83,2360,918,947,15,1838,1336
3302,5274,83,2280,841,851,7,1814,1549
50743,82361,83,2359,1120,1140,10,1817,2244
53862,87317,83,2341,1813,1822,4,41,2241
35423,58005,83,2389,1405,1453,30,41,1697
25831,42308,83,2326,810,831,12,1835,170
9242,15116,83,84,734,737,3,1837,1340
41131,67154,83,2271,1645,1703,10,1835,1663
26528,43645,83,84,1714,1717,3,1163,1340
5502,8923,83,84,2040,2043,3,1837,1363
6206,10047,83,536,1443,1515,18,1839,1898
36357,59433,83,2280,435,445,7,1163,179
36371,59447,83,2281,1359,1406,6,1835,2281
17945,29612,83,2327,1224,1240,10,1833,430
17460,28806,83,2280,1807,1817,7,1815,1550
3863,6148,83,2338,1029,1040,4,1838,1421
90332,144614,83,84,1538,1541,3,1163,1402
49410,80322,83,86,927,934,4,1833,79
13785,22618,83,2275,1013,1031,13,1838,2129
45223,73588,83,2359,1015,1035,10,1834,587
58015,93916,83,2379,1108,1233,46,1831,2378
48206,78339,83,2338,1419,1430,4,1816,1423
70948,114239,83,2341,1708,1717,4,1815,1382
1584,2523,83,2283,1851,1857,4,1835,1303
40728,66470,83,2353,1933,2001,19,1812,1525
89482,143258,83,1754,1219,1255,20,1813,1884
59851,96687,83,2280,1401,1411,7,1812,179
13132,21484,83,2348,1243,1256,8,1163,2348
82360,132281,83,143,1431,1440,6,1841,143
35931,58778,83,2253,1456,1524,16,1812,1913
17730,29233,83,2281,1552,1559,6,1840,1558
46024,74836,83,86,1703,1710,4,1817,1972
